"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Hatley","45.3","-71.95","250","America/Montreal","5","71611","7025660"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","pr","ta","ww"
1836-02-01,NA,0,NA,NA
1836-02-01,NA,NA,NA,NA
1836-02-01 06:00:00,270,NA,NA,NA
1836-02-01 06:00:00,NA,NA,-17.78,NA
1836-02-01 06:00:00,NA,NA,NA,",BKN NA"
1836-02-01 14:00:00,270,NA,NA,NA
1836-02-01 14:00:00,NA,NA,-14.44,NA
1836-02-01 14:00:00,NA,NA,NA,",BKN NA"
1836-02-01 21:00:00,270,NA,NA,NA
1836-02-01 21:00:00,NA,NA,-24.44,NA
1836-02-01 21:00:00,NA,NA,NA,",SKC NA"
1836-02-02,NA,0,NA,NA
1836-02-02,NA,NA,NA,NA
1836-02-02 06:00:00,315,NA,NA,NA
1836-02-02 06:00:00,NA,NA,-30.56,NA
1836-02-02 06:00:00,NA,NA,NA,",SKC NA"
1836-02-02 14:00:00,315,NA,NA,NA
1836-02-02 14:00:00,NA,NA,-22.78,NA
1836-02-02 14:00:00,NA,NA,NA,",SKC NA"
1836-02-02 21:00:00,270,NA,NA,NA
1836-02-02 21:00:00,NA,NA,-25.56,NA
1836-02-02 21:00:00,NA,NA,NA,",BKN NA"
1836-02-03,NA,0,NA,NA
1836-02-03,NA,NA,NA,NA
1836-02-03 06:00:00,225,NA,NA,NA
1836-02-03 06:00:00,NA,NA,-22.78,NA
1836-02-03 06:00:00,NA,NA,NA,",SKC NA"
1836-02-03 14:00:00,270,NA,NA,NA
1836-02-03 14:00:00,NA,NA,-12.22,NA
1836-02-03 14:00:00,NA,NA,NA,",SKC NA"
1836-02-03 21:00:00,270,NA,NA,NA
1836-02-03 21:00:00,NA,NA,-22.22,NA
1836-02-03 21:00:00,NA,NA,NA,",SKC NA"
1836-02-04,NA,0,NA,NA
1836-02-04,NA,NA,NA,NA
1836-02-04 06:00:00,0,NA,NA,NA
1836-02-04 06:00:00,NA,NA,-25,NA
1836-02-04 06:00:00,NA,NA,NA,",SKC NA"
1836-02-04 14:00:00,0,NA,NA,NA
1836-02-04 14:00:00,NA,NA,-11.11,NA
1836-02-04 14:00:00,NA,NA,NA,",SKC NA"
1836-02-04 21:00:00,0,NA,NA,NA
1836-02-04 21:00:00,NA,NA,-22.78,NA
1836-02-04 21:00:00,NA,NA,NA,",SKC NA"
1836-02-05,NA,0,NA,NA
1836-02-05,NA,NA,NA,NA
1836-02-05 06:00:00,0,NA,NA,NA
1836-02-05 06:00:00,NA,NA,-25.56,NA
1836-02-05 06:00:00,NA,NA,NA,",SKC NA"
1836-02-05 14:00:00,0,NA,NA,NA
1836-02-05 14:00:00,NA,NA,-12.22,NA
1836-02-05 14:00:00,NA,NA,NA,",SKC NA"
1836-02-05 21:00:00,0,NA,NA,NA
1836-02-05 21:00:00,NA,NA,-21.11,NA
1836-02-05 21:00:00,NA,NA,NA,",SKC NA"
1836-02-06,NA,0,NA,NA
1836-02-06,NA,NA,NA,NA
1836-02-06 06:00:00,225,NA,NA,NA
1836-02-06 06:00:00,NA,NA,-20.56,NA
1836-02-06 06:00:00,NA,NA,NA,",SKC NA"
1836-02-06 14:00:00,225,NA,NA,NA
1836-02-06 14:00:00,NA,NA,-12.22,NA
1836-02-06 14:00:00,NA,NA,NA,",SKC NA"
1836-02-06 21:00:00,225,NA,NA,NA
1836-02-06 21:00:00,NA,NA,-18.33,NA
1836-02-06 21:00:00,NA,NA,NA,",SKC NA"
1836-02-07,NA,0,NA,NA
1836-02-07,NA,NA,NA,NA
1836-02-07 06:00:00,90,NA,NA,NA
1836-02-07 06:00:00,NA,NA,-21.11,NA
1836-02-07 06:00:00,NA,NA,NA,",SKC NA"
1836-02-07 14:00:00,90,NA,NA,NA
1836-02-07 14:00:00,NA,NA,-5,NA
1836-02-07 14:00:00,NA,NA,NA,",BKN NA"
1836-02-07 21:00:00,135,NA,NA,NA
1836-02-07 21:00:00,NA,NA,-8.89,NA
1836-02-07 21:00:00,NA,NA,NA,",BKN NA"
1836-02-08,NA,17.27,NA,NA
1836-02-08,NA,NA,NA,NA
1836-02-08 06:00:00,135,NA,NA,NA
1836-02-08 06:00:00,NA,NA,-5.56,NA
1836-02-08 06:00:00,NA,NA,NA,",SN NA"
1836-02-08 14:00:00,90,NA,NA,NA
1836-02-08 14:00:00,NA,NA,-1.11,NA
1836-02-08 14:00:00,NA,NA,NA,",SN NA"
1836-02-08 21:00:00,45,NA,NA,NA
1836-02-08 21:00:00,NA,NA,-6.67,NA
1836-02-08 21:00:00,NA,NA,NA,",SN NA"
1836-02-09,NA,0,NA,NA
1836-02-09,NA,NA,NA,NA
1836-02-09 06:00:00,225,NA,NA,NA
1836-02-09 06:00:00,NA,NA,-7.78,NA
1836-02-09 06:00:00,NA,NA,NA,",SN NA"
1836-02-09 14:00:00,225,NA,NA,NA
1836-02-09 14:00:00,NA,NA,-4.44,NA
1836-02-09 14:00:00,NA,NA,NA,",SN NA"
1836-02-09 21:00:00,225,NA,NA,NA
1836-02-09 21:00:00,NA,NA,-6.67,NA
1836-02-09 21:00:00,NA,NA,NA,",SN NA"
1836-02-10,NA,0,NA,NA
1836-02-10,NA,NA,NA,NA
1836-02-10 06:00:00,225,NA,NA,NA
1836-02-10 06:00:00,NA,NA,-6.67,NA
1836-02-10 06:00:00,NA,NA,NA,",SN NA"
1836-02-10 14:00:00,225,NA,NA,NA
1836-02-10 14:00:00,NA,NA,-1.67,NA
1836-02-10 14:00:00,NA,NA,NA,",SN NA"
1836-02-10 21:00:00,270,NA,NA,NA
1836-02-10 21:00:00,NA,NA,-6.67,NA
1836-02-10 21:00:00,NA,NA,NA,",SKC NA"
1836-02-11,NA,11.94,NA,NA
1836-02-11,NA,NA,NA,NA
1836-02-11 06:00:00,0,NA,NA,NA
1836-02-11 06:00:00,NA,NA,-12.22,NA
1836-02-11 06:00:00,NA,NA,NA,",SKC NA"
1836-02-11 14:00:00,0,NA,NA,NA
1836-02-11 14:00:00,NA,NA,-1.67,NA
1836-02-11 14:00:00,NA,NA,NA,",SKC NA"
1836-02-11 21:00:00,0,NA,NA,NA
1836-02-11 21:00:00,NA,NA,-16.67,NA
1836-02-11 21:00:00,NA,NA,NA,",SKC NA"
1836-02-12,NA,0,NA,NA
1836-02-12,NA,NA,NA,NA
1836-02-12 06:00:00,90,NA,NA,NA
1836-02-12 06:00:00,NA,NA,-18.89,NA
1836-02-12 06:00:00,NA,NA,NA,",SKC NA"
1836-02-12 14:00:00,90,NA,NA,NA
1836-02-12 14:00:00,NA,NA,-5,NA
1836-02-12 14:00:00,NA,NA,NA,",BKN NA"
1836-02-12 21:00:00,90,NA,NA,NA
1836-02-12 21:00:00,NA,NA,-7.22,NA
1836-02-12 21:00:00,NA,NA,NA,",BKN NA"
1836-02-13,NA,0,NA,NA
1836-02-13,NA,NA,NA,NA
1836-02-13 06:00:00,90,NA,NA,NA
1836-02-13 06:00:00,NA,NA,-6.67,NA
1836-02-13 06:00:00,NA,NA,NA,",BKN NA"
1836-02-13 14:00:00,180,NA,NA,NA
1836-02-13 14:00:00,NA,NA,4.44,NA
1836-02-13 14:00:00,NA,NA,NA,",SN NA"
1836-02-13 21:00:00,270,NA,NA,NA
1836-02-13 21:00:00,NA,NA,-6.67,NA
1836-02-13 21:00:00,NA,NA,NA,",SN NA"
1836-02-14,NA,0,NA,NA
1836-02-14,NA,NA,NA,NA
1836-02-14 06:00:00,0,NA,NA,NA
1836-02-14 06:00:00,NA,NA,-11.11,NA
1836-02-14 06:00:00,NA,NA,NA,",BKN NA"
1836-02-14 14:00:00,0,NA,NA,NA
1836-02-14 14:00:00,NA,NA,-12.22,NA
1836-02-14 14:00:00,NA,NA,NA,",BKN NA"
1836-02-14 21:00:00,0,NA,NA,NA
1836-02-14 21:00:00,NA,NA,-17.78,NA
1836-02-14 21:00:00,NA,NA,NA,",SKC NA"
1836-02-15,NA,11.43,NA,NA
1836-02-15,NA,NA,NA,NA
1836-02-15 06:00:00,270,NA,NA,NA
1836-02-15 06:00:00,NA,NA,-23.33,NA
1836-02-15 06:00:00,NA,NA,NA,",SKC NA"
1836-02-15 14:00:00,270,NA,NA,NA
1836-02-15 14:00:00,NA,NA,-13.33,NA
1836-02-15 14:00:00,NA,NA,NA,",SKC NA"
1836-02-15 21:00:00,270,NA,NA,NA
1836-02-15 21:00:00,NA,NA,-21.67,NA
1836-02-15 21:00:00,NA,NA,NA,",SKC NA"
1836-02-16,NA,0,NA,NA
1836-02-16,NA,NA,NA,NA
1836-02-16 06:00:00,0,NA,NA,NA
1836-02-16 06:00:00,NA,NA,-22.22,NA
1836-02-16 06:00:00,NA,NA,NA,",SKC NA"
1836-02-16 14:00:00,0,NA,NA,NA
1836-02-16 14:00:00,NA,NA,-11.67,NA
1836-02-16 14:00:00,NA,NA,NA,",SKC NA"
1836-02-16 21:00:00,0,NA,NA,NA
1836-02-16 21:00:00,NA,NA,-21.67,NA
1836-02-16 21:00:00,NA,NA,NA,",SKC NA"
1836-02-17,NA,0,NA,NA
1836-02-17,NA,NA,NA,NA
1836-02-17 06:00:00,0,NA,NA,NA
1836-02-17 06:00:00,NA,NA,-24.44,NA
1836-02-17 06:00:00,NA,NA,NA,",SKC NA"
1836-02-17 14:00:00,0,NA,NA,NA
1836-02-17 14:00:00,NA,NA,-9.44,NA
1836-02-17 14:00:00,NA,NA,NA,",SKC NA"
1836-02-17 21:00:00,0,NA,NA,NA
1836-02-17 21:00:00,NA,NA,-21.11,NA
1836-02-17 21:00:00,NA,NA,NA,",SKC NA"
1836-02-18,NA,0,NA,NA
1836-02-18,NA,NA,NA,NA
1836-02-18 06:00:00,0,NA,NA,NA
1836-02-18 06:00:00,NA,NA,-28.89,NA
1836-02-18 06:00:00,NA,NA,NA,",SKC NA"
1836-02-18 14:00:00,0,NA,NA,NA
1836-02-18 14:00:00,NA,NA,-12.78,NA
1836-02-18 14:00:00,NA,NA,NA,",SKC NA"
1836-02-18 21:00:00,90,NA,NA,NA
1836-02-18 21:00:00,NA,NA,-24.44,NA
1836-02-18 21:00:00,NA,NA,NA,",SKC NA"
1836-02-19,NA,0,NA,NA
1836-02-19,NA,NA,NA,NA
1836-02-19 06:00:00,90,NA,NA,NA
1836-02-19 06:00:00,NA,NA,-27.78,NA
1836-02-19 06:00:00,NA,NA,NA,",SKC NA"
1836-02-19 14:00:00,90,NA,NA,NA
1836-02-19 14:00:00,NA,NA,-3.89,NA
1836-02-19 14:00:00,NA,NA,NA,",SKC NA"
1836-02-19 21:00:00,90,NA,NA,NA
1836-02-19 21:00:00,NA,NA,-13.33,NA
1836-02-19 21:00:00,NA,NA,NA,",SKC NA"
1836-02-20,NA,0,NA,NA
1836-02-20,NA,NA,NA,NA
1836-02-20 06:00:00,180,NA,NA,NA
1836-02-20 06:00:00,NA,NA,-8.89,NA
1836-02-20 06:00:00,NA,NA,NA,",SN NA"
1836-02-20 14:00:00,180,NA,NA,NA
1836-02-20 14:00:00,NA,NA,2.22,NA
1836-02-20 14:00:00,NA,NA,NA,",BKN NA"
1836-02-20 21:00:00,180,NA,NA,NA
1836-02-20 21:00:00,NA,NA,-5,NA
1836-02-20 21:00:00,NA,NA,NA,",SKC NA"
1836-02-21,NA,0,NA,NA
1836-02-21,NA,NA,NA,NA
1836-02-21 06:00:00,270,NA,NA,NA
1836-02-21 06:00:00,NA,NA,2.22,NA
1836-02-21 06:00:00,NA,NA,NA,",BKN NA"
1836-02-21 14:00:00,270,NA,NA,NA
1836-02-21 14:00:00,NA,NA,11.11,NA
1836-02-21 14:00:00,NA,NA,NA,",BKN NA"
1836-02-21 21:00:00,270,NA,NA,NA
1836-02-21 21:00:00,NA,NA,1.67,NA
1836-02-21 21:00:00,NA,NA,NA,",SKC NA"
1836-02-22,NA,0,NA,NA
1836-02-22,NA,NA,NA,NA
1836-02-22 06:00:00,270,NA,NA,NA
1836-02-22 06:00:00,NA,NA,-1.67,NA
1836-02-22 06:00:00,NA,NA,NA,",BKN NA"
1836-02-22 14:00:00,270,NA,NA,NA
1836-02-22 14:00:00,NA,NA,8.89,NA
1836-02-22 14:00:00,NA,NA,NA,",SKC NA"
1836-02-22 21:00:00,270,NA,NA,NA
1836-02-22 21:00:00,NA,NA,-2.22,NA
1836-02-22 21:00:00,NA,NA,NA,",SKC NA"
1836-02-23,NA,0,NA,NA
1836-02-23,NA,NA,NA,NA
1836-02-23 06:00:00,90,NA,NA,NA
1836-02-23 06:00:00,NA,NA,-2.22,NA
1836-02-23 06:00:00,NA,NA,NA,",BKN NA"
1836-02-23 14:00:00,135,NA,NA,NA
1836-02-23 14:00:00,NA,NA,6.67,NA
1836-02-23 14:00:00,NA,NA,NA,",BKN NA"
1836-02-23 21:00:00,135,NA,NA,NA
1836-02-23 21:00:00,NA,NA,2.22,NA
1836-02-23 21:00:00,NA,NA,NA,",BKN NA"
1836-02-24,NA,22.61,NA,NA
1836-02-24,NA,NA,NA,NA
1836-02-24 06:00:00,180,NA,NA,NA
1836-02-24 06:00:00,NA,NA,1.11,NA
1836-02-24 06:00:00,NA,NA,NA,",RA NA"
1836-02-24 14:00:00,180,NA,NA,NA
1836-02-24 14:00:00,NA,NA,4.44,NA
1836-02-24 14:00:00,NA,NA,NA,",RA NA"
1836-02-24 21:00:00,180,NA,NA,NA
1836-02-24 21:00:00,NA,NA,3.33,NA
1836-02-24 21:00:00,NA,NA,NA,",RA NA"
1836-02-25,NA,0,NA,NA
1836-02-25,NA,NA,NA,NA
1836-02-25 06:00:00,270,NA,NA,NA
1836-02-25 06:00:00,NA,NA,-2.22,NA
1836-02-25 06:00:00,NA,NA,NA,",SN NA"
1836-02-25 14:00:00,270,NA,NA,NA
1836-02-25 14:00:00,NA,NA,-7.78,NA
1836-02-25 14:00:00,NA,NA,NA,",SN NA"
1836-02-25 21:00:00,270,NA,NA,NA
1836-02-25 21:00:00,NA,NA,-14.44,NA
1836-02-25 21:00:00,NA,NA,NA,",RA NA"
1836-02-26,NA,0,NA,NA
1836-02-26,NA,NA,NA,NA
1836-02-26 06:00:00,270,NA,NA,NA
1836-02-26 06:00:00,NA,NA,-18.89,NA
1836-02-26 06:00:00,NA,NA,NA,",SKC NA"
1836-02-26 14:00:00,180,NA,NA,NA
1836-02-26 14:00:00,NA,NA,-6.67,NA
1836-02-26 14:00:00,NA,NA,NA,",SKC NA"
1836-02-26 21:00:00,180,NA,NA,NA
1836-02-26 21:00:00,NA,NA,-13.33,NA
1836-02-26 21:00:00,NA,NA,NA,",BKN NA"
1836-02-27,NA,0,NA,NA
1836-02-27,NA,NA,NA,NA
1836-02-27 06:00:00,0,NA,NA,NA
1836-02-27 06:00:00,NA,NA,-18.89,NA
1836-02-27 06:00:00,NA,NA,NA,",SKC NA"
1836-02-27 14:00:00,0,NA,NA,NA
1836-02-27 14:00:00,NA,NA,-5.56,NA
1836-02-27 14:00:00,NA,NA,NA,NA
1836-02-27 21:00:00,0,NA,NA,NA
1836-02-27 21:00:00,NA,NA,-15,NA
1836-02-27 21:00:00,NA,NA,NA,NA
1836-02-28,NA,0,NA,NA
1836-02-28,NA,NA,NA,NA
1836-02-28 06:00:00,270,NA,NA,NA
1836-02-28 06:00:00,NA,NA,-11.11,NA
1836-02-28 06:00:00,NA,NA,NA,",BKN NA"
1836-02-28 14:00:00,270,NA,NA,NA
1836-02-28 14:00:00,NA,NA,-4.44,NA
1836-02-28 14:00:00,NA,NA,NA,",SKC NA"
1836-02-28 21:00:00,270,NA,NA,NA
1836-02-28 21:00:00,NA,NA,-15,NA
1836-02-28 21:00:00,NA,NA,NA,",SKC NA"
1836-02-29,NA,0,NA,NA
1836-02-29,NA,NA,NA,NA
1836-02-29 06:00:00,180,NA,NA,NA
1836-02-29 06:00:00,NA,NA,-22.22,NA
1836-02-29 06:00:00,NA,NA,NA,",SKC NA"
1836-02-29 14:00:00,180,NA,NA,NA
1836-02-29 14:00:00,NA,NA,-3.89,NA
1836-02-29 14:00:00,NA,NA,NA,NA
1836-02-29 21:00:00,180,NA,NA,NA
1836-02-29 21:00:00,NA,NA,-4.44,NA
1836-02-29 21:00:00,NA,NA,NA,",SN NA"
1836-03-01,NA,0,NA,NA
1836-03-01,NA,NA,NA,NA
1836-03-01 06:00:00,180,NA,NA,NA
1836-03-01 06:00:00,NA,NA,-3.33,NA
1836-03-01 06:00:00,NA,NA,NA,",BKN NA"
1836-03-01 14:00:00,180,NA,NA,NA
1836-03-01 14:00:00,NA,NA,2.78,NA
1836-03-01 14:00:00,NA,NA,NA,",BKN NA"
1836-03-01 21:00:00,180,NA,NA,NA
1836-03-01 21:00:00,NA,NA,0,NA
1836-03-01 21:00:00,NA,NA,NA,",SN NA"
1836-03-02,NA,0,NA,NA
1836-03-02,NA,NA,NA,NA
1836-03-02 06:00:00,270,NA,NA,NA
1836-03-02 06:00:00,NA,NA,-7.78,NA
1836-03-02 06:00:00,NA,NA,NA,",BKN NA"
1836-03-02 14:00:00,270,NA,NA,NA
1836-03-02 14:00:00,NA,NA,-11.67,NA
1836-03-02 14:00:00,NA,NA,NA,NA
1836-03-02 21:00:00,270,NA,NA,NA
1836-03-02 21:00:00,NA,NA,-18.33,NA
1836-03-02 21:00:00,NA,NA,NA,",BKN NA"
1836-03-03,NA,0,NA,NA
1836-03-03,NA,NA,NA,NA
1836-03-03 06:00:00,270,NA,NA,NA
1836-03-03 06:00:00,NA,NA,-18.89,NA
1836-03-03 06:00:00,NA,NA,NA,",SKC NA"
1836-03-03 14:00:00,270,NA,NA,NA
1836-03-03 14:00:00,NA,NA,-7.78,NA
1836-03-03 14:00:00,NA,NA,NA,NA
1836-03-03 21:00:00,270,NA,NA,NA
1836-03-03 21:00:00,NA,NA,-14.44,NA
1836-03-03 21:00:00,NA,NA,NA,",SKC NA"
1836-03-04,NA,0,NA,NA
1836-03-04,NA,NA,NA,NA
1836-03-04 06:00:00,270,NA,NA,NA
1836-03-04 06:00:00,NA,NA,-12.22,NA
1836-03-04 06:00:00,NA,NA,NA,",SKC NA"
1836-03-04 14:00:00,180,NA,NA,NA
1836-03-04 14:00:00,NA,NA,1.67,NA
1836-03-04 14:00:00,NA,NA,NA,NA
1836-03-04 21:00:00,180,NA,NA,NA
1836-03-04 21:00:00,NA,NA,2.22,NA
1836-03-04 21:00:00,NA,NA,NA,",BKN NA"
1836-03-05,NA,0,NA,NA
1836-03-05,NA,NA,NA,NA
1836-03-05 06:00:00,270,NA,NA,NA
1836-03-05 06:00:00,NA,NA,-2.22,NA
1836-03-05 06:00:00,NA,NA,NA,",BKN NA"
1836-03-05 14:00:00,270,NA,NA,NA
1836-03-05 14:00:00,NA,NA,-1.67,NA
1836-03-05 14:00:00,NA,NA,NA,",BKN NA"
1836-03-05 21:00:00,270,NA,NA,NA
1836-03-05 21:00:00,NA,NA,-15.56,NA
1836-03-05 21:00:00,NA,NA,NA,",SKC NA"
1836-03-06,NA,0,NA,NA
1836-03-06,NA,NA,NA,NA
1836-03-06 06:00:00,270,NA,NA,NA
1836-03-06 06:00:00,NA,NA,-15.56,NA
1836-03-06 06:00:00,NA,NA,NA,NA
1836-03-06 14:00:00,180,NA,NA,NA
1836-03-06 14:00:00,NA,NA,-4.44,NA
1836-03-06 14:00:00,NA,NA,NA,",SKC NA"
1836-03-06 21:00:00,180,NA,NA,NA
1836-03-06 21:00:00,NA,NA,-7.78,NA
1836-03-06 21:00:00,NA,NA,NA,",SKC NA"
1836-03-07,NA,0,NA,NA
1836-03-07,NA,NA,NA,NA
1836-03-07 06:00:00,225,NA,NA,NA
1836-03-07 06:00:00,NA,NA,-8.33,NA
1836-03-07 06:00:00,NA,NA,NA,",SN NA"
1836-03-07 14:00:00,225,NA,NA,NA
1836-03-07 14:00:00,NA,NA,-7.22,NA
1836-03-07 14:00:00,NA,NA,NA,NA
1836-03-07 21:00:00,270,NA,NA,NA
1836-03-07 21:00:00,NA,NA,-13.33,NA
1836-03-07 21:00:00,NA,NA,NA,",SKC NA"
1836-03-08,NA,1.27,NA,NA
1836-03-08,NA,NA,NA,NA
1836-03-08 06:00:00,180,NA,NA,NA
1836-03-08 06:00:00,NA,NA,-12.22,NA
1836-03-08 06:00:00,NA,NA,NA,",SKC NA"
1836-03-08 14:00:00,180,NA,NA,NA
1836-03-08 14:00:00,NA,NA,-6.67,NA
1836-03-08 14:00:00,NA,NA,NA,",SKC NA"
1836-03-08 21:00:00,180,NA,NA,NA
1836-03-08 21:00:00,NA,NA,-10.56,NA
1836-03-08 21:00:00,NA,NA,NA,",SKC NA"
1836-03-09,NA,0,NA,NA
1836-03-09,NA,NA,NA,NA
1836-03-09 06:00:00,180,NA,NA,NA
1836-03-09 06:00:00,NA,NA,-12.22,NA
1836-03-09 06:00:00,NA,NA,NA,",SKC NA"
1836-03-09 14:00:00,180,NA,NA,NA
1836-03-09 14:00:00,NA,NA,2.78,NA
1836-03-09 14:00:00,NA,NA,NA,NA
1836-03-09 21:00:00,180,NA,NA,NA
1836-03-09 21:00:00,NA,NA,-2.22,NA
1836-03-09 21:00:00,NA,NA,NA,NA
1836-03-10,NA,0,NA,NA
1836-03-10,NA,NA,NA,NA
1836-03-10 06:00:00,180,NA,NA,NA
1836-03-10 06:00:00,NA,NA,1.11,NA
1836-03-10 06:00:00,NA,NA,NA,",BKN NA"
1836-03-10 14:00:00,180,NA,NA,NA
1836-03-10 14:00:00,NA,NA,4.44,NA
1836-03-10 14:00:00,NA,NA,NA,",BKN NA"
1836-03-10 21:00:00,180,NA,NA,NA
1836-03-10 21:00:00,NA,NA,3.33,NA
1836-03-10 21:00:00,NA,NA,NA,",RA NA"
1836-03-11,NA,0,NA,NA
1836-03-11,NA,NA,NA,NA
1836-03-11 06:00:00,180,NA,NA,NA
1836-03-11 06:00:00,NA,NA,3.89,NA
1836-03-11 06:00:00,NA,NA,NA,",BKN NA"
1836-03-11 14:00:00,270,NA,NA,NA
1836-03-11 14:00:00,NA,NA,-3.89,NA
1836-03-11 14:00:00,NA,NA,NA,NA
1836-03-11 21:00:00,270,NA,NA,NA
1836-03-11 21:00:00,NA,NA,-11.67,NA
1836-03-11 21:00:00,NA,NA,NA,",SKC NA"
1836-03-12,NA,0,NA,NA
1836-03-12,NA,NA,NA,NA
1836-03-12 06:00:00,315,NA,NA,NA
1836-03-12 06:00:00,NA,NA,-17.78,NA
1836-03-12 06:00:00,NA,NA,NA,",SKC NA"
1836-03-12 14:00:00,315,NA,NA,NA
