,,,sums
daily_weather_remarks,,,
remarks_7am,,remarks,6
remarks_2pm,,,
remarks_9pm,,,
open_air_thermometer_7am,,,1576
open_air_thermometer_2pm,,,
open_air_thermometer_9pm,,,
open_air_thermometer_mean,,,
type_precipitation,,,102
rain_and_melted_snow_hour_began,,,99
rain_and_melted_snow_hour_ended,,,46
rain_and_melted_snow_amount,,,36
depth_of_snow,,,36
cloud_amount_7am,,cloud amount,694
course_higher_clouds_7am,,cloud direction,713
cloud_velocity_7am,,cloud velocity,1406
kind_of_cloud_7am,,cloud kind,1418
course_higher_clouds_2pm,,,
cloud_amount_2pm,,,
cloud_velocity_2pm,,,
kind_of_cloud_2pm,,,
cloud_amount_9pm,,,
course_higher_clouds_9pm,,,
cloud_velocity_9pm,,,
kind_cloud_9pm,,,
wind_direction_7am,,wind direction,1449
wind_force_7am,,wind force,1158
wind_direction_2pm,,,
wind_force_2pm,,,
wind_direction_9pm,,,
wind_force_9pm,,,
transcriber_comments,,,
casual_phenomena,,,
casual_phenomena_line_2,,CP,1446
casual_phenomena_line_3,,,
casual_phenomena_line_4,,,
casual_phenomena_line_5,,,
casual_phenomena_line_2,,,
casual_phenomena_line_3,,,
casual_phenomena_line_4,,,
casual_phenomena_line_5,,,
,,,
,,,
,total,,10185